NAME,TOTALREV,TFEDREV,TSTREV,TLOCREV,tot_rev_per_s,fed_rev_per_s,st_rev_per_s,loc_rev_per_s,ENROLL,TOTALEXP,TCURINST,tot_spend_per_s,tot_inst_per_s,lat,lng,ave_school_enrol,ave_prcnt_wht,ave_prcnt_bk,ave_prcnt_hisp,ave_prcnt_asn,ave_prcnt_othr,free_lunch_eligible,not_eligible,total_count,percent_student_body_eligible_for_frl,majority_minority
Reese Public Schools,9085,662,5940,2483,11.05231144,0.805352798,7.226277372,3.020681265,822,9416,5021,11.45498783,6.108272506,43.45445413,-83.68357263,274.3333333,88,1.333333333,6.333333333,1,3,122,129.3333333,265.3333333,51.33333333,No
Reeths-Puffer Schools,43506,1733,29391,12382,11.47612767,0.45713532,7.752835663,3.266156687,3791,42665,23262,11.25428647,6.136111844,43.2863897,-86.24457077,516.7142857,88,3.428571429,4.142857143,1.571428571,3,222.5714286,247.1428571,511.2857143,46.85714286,No
Republic-Michigamme Schools,2943,215,269,2459,20.87234043,1.524822695,1.907801418,17.43971631,141,2880,1572,20.42553191,11.14893617,46.3706781,-87.982887,136,95,1,0,0,4,56,43,110,61,No
Richmond Community Schools,16552,1019,9511,6022,11.13113652,0.68527236,6.396099529,4.049764627,1487,17075,8546,11.48285138,5.747141896,42.80643633,-82.7590426,488.6666667,90.66666667,0.666666667,5,0,4.333333333,130.3333333,314.3333333,472.3333333,33.66666667,No
"River Rouge, School District of the City of",26369,4939,13177,8253,15.068,2.822285714,7.529714286,4.716,1750,23471,10740,13.412,6.137142857,42.2704013,-83.13549068,447.25,7,76.75,9.75,0,7,414.25,116.75,537.25,79.5,Yes
River Valley School District,9518,523,874,8121,16.90586146,0.928952043,1.552397869,14.42451155,563,9057,4522,16.08703375,8.031971581,41.83620933,-86.60981577,191.3333333,89.66666667,0.333333333,4.666666667,0.666666667,5,93.66666667,86,192.3333333,58,No
Riverview Community School District,27729,839,22983,3907,10.00685673,0.30277878,8.294117647,1.409960303,2771,27390,16214,9.884518224,5.851317214,42.17574044,-83.19382808,550.2,82.2,6.2,8.6,1.2,2.2,187.4,332.8,556.6,42,No
Rochester Community School District,194327,2051,125504,66772,12.90351926,0.136188579,8.333598938,4.43373174,15060,169769,102387,11.27284197,6.798605578,42.68565617,-83.15426444,717.1428571,75.9047619,4.19047619,4.761904762,11.80952381,3.333333333,106.7619048,598.4285714,721.9047619,20.85714286,No
Rockford Public Schools,91595,1121,60698,29776,11.60605677,0.142042575,7.691079574,3.772934617,7892,98205,49175,12.44361379,6.230993411,43.09852488,-85.53983261,573.7692308,89.15384615,0.923076923,4.230769231,1.153846154,4.538461538,100.6923077,460.6153846,576.3076923,22.69230769,No
Rogers City Area Schools,5818,366,3092,2360,10.73431734,0.675276753,5.704797048,4.354243542,542,5633,3514,10.39298893,6.483394834,45.4166884,-83.8245615,322,95,1,1,0,2,153,139,336,59,No
Romeo Community Schools,60456,1374,40503,18579,11.61945032,0.264078416,7.784547377,3.570824524,5203,56147,33059,10.79127426,6.353834326,42.76452107,-83.01859969,661.2857143,85.42857143,2,8.571428571,0.714285714,3.142857143,184.8571429,451.4285714,659.5714286,36,No
Romulus Community Schools,41447,3639,20134,17674,13.8018648,1.211788212,6.704628705,5.885447885,3003,43706,18503,14.55411255,6.161505162,42.2245963,-83.37985857,482.1666667,22.33333333,70.5,3.833333333,0.333333333,3.166666667,318.1666667,89.66666667,437,80,Yes
Roseville Community Schools,56827,4785,37379,14663,11.54316474,0.971968312,7.592728011,2.978468414,4923,58868,31437,11.95774934,6.385740402,42.50029511,-82.93977231,374.3333333,61.55555556,27,2.444444444,1.777777778,7.444444444,239.7777778,117.7777778,373.6666667,69.22222222,No
Royal Oak Schools,72725,1156,31191,40378,14.9363319,0.237420415,6.406038201,8.29287328,4869,61516,33186,12.63421647,6.815773259,42.50892201,-83.14856452,529,78.22222222,9.444444444,4.666666667,1.222222222,6.555555556,116.2222222,411.5555556,547.3333333,29.55555556,No
Rudyard Area Schools,8271,1262,4833,2176,11.93506494,1.821067821,6.974025974,3.13997114,693,7592,3961,10.95526696,5.715728716,46.2035767,-84.7455817,684,61,4,1,1,34,352,199,608,67,No
"Saginaw, School District of the City of",81874,17348,52853,11673,12.88137193,2.729389553,8.315449969,1.83653241,6356,76641,43933,12.05805538,6.912051605,43.42769899,-83.95706665,388.875,20.875,62.4375,12.875,1.8125,2,276.75,70.25,355.875,82.6875,Yes
Saginaw Township Community Schools,49226,2126,32505,14595,9.980940795,0.431062449,6.590632603,2.959245742,4932,48065,28963,9.745539335,5.872465531,43.4362163,-84.00561534,598.875,60.875,16.625,14.625,3.75,4.375,243.875,315.375,597.125,51.75,No
Saline Area Schools,72212,456,40377,31379,13.61976613,0.086005281,7.61542814,5.918332705,5302,68876,36625,12.9905696,6.907770653,42.18098989,-83.77089849,701,89.57142857,1.714285714,1.428571429,3.571428571,3.857142857,86.14285714,579,683.1428571,22.71428571,No
Sand Creek Community Schools,9176,343,7244,1589,10.25251397,0.383240223,8.093854749,1.775418994,895,8907,5613,9.951955307,6.27150838,41.8203107,-84.1024474,442.5,91.5,0,5.5,0,2.5,174,225.5,440.5,49.5,No
Sandusky Community School District,11032,781,7388,2863,10.64864865,0.753861004,7.131274131,2.763513514,1036,10116,5932,9.764478764,5.725868726,43.41172435,-82.82564395,516.5,95.5,0,3,0.5,1,232.5,251,527.5,52,No
Saranac Community Schools,10983,397,7591,2995,10.8527668,0.39229249,7.500988142,2.959486166,1012,16503,6105,16.30731225,6.032608696,42.9246588,-85.2026349,491.5,91.5,1,4.5,0.5,2.5,155.5,250.5,455.5,44,No
Saugatuck Public Schools,11500,219,2230,9051,13.52941176,0.257647059,2.623529412,10.64823529,850,9854,5684,11.59294118,6.687058824,42.649868,-86.20176645,316,90,0,7,0,3,93,214,321.5,33,No
Sault Ste. Marie Area Schools,23963,1728,15334,6901,10.59372237,0.763925729,6.778956676,3.050839965,2262,28925,12666,12.78735632,5.599469496,46.46114033,-84.33416008,401,64.83333333,1.5,3.833333333,1.333333333,28.5,193,189.8333333,408.5,58.66666667,No
