NAME,TOTALREV,TFEDREV,TSTREV,TLOCREV,tot_rev_per_s,fed_rev_per_s,st_rev_per_s,loc_rev_per_s,ENROLL,TOTALEXP,TCURINST,tot_spend_per_s,tot_inst_per_s,lat,lng,ave_school_enrol,ave_prcnt_wht,ave_prcnt_bk,ave_prcnt_hisp,ave_prcnt_asn,ave_prcnt_othr,free_lunch_eligible,not_eligible,total_count,percent_student_body_eligible_for_frl,majority_minority
Schoolcraft Community Schools,12083,210,8174,3699,11.31367041,0.196629213,7.653558052,3.463483146,1068,10995,6202,10.29494382,5.807116105,42.11983473,-85.6293134,349.6666667,90,1,4.666666667,1,3,75.33333333,263.3333333,357.3333333,26.33333333,No
Unionville-Sebewaing Area S.D.,8993,396,5321,3276,11.75555556,0.517647059,6.955555556,4.282352941,765,7700,4201,10.06535948,5.491503268,43.6953174,-83.4615209,158,94,0,5,0,1,59,88,160,45,No
Shelby Public Schools,15411,2268,8579,4564,11.46651786,1.6875,6.383184524,3.395833333,1344,14730,8534,10.95982143,6.349702381,43.59776197,-86.35607213,319,58.66666667,1,38.33333333,0,2.666666667,224,68,326.3333333,80,No
Shepherd Public Schools,19038,790,14425,3823,10.39759694,0.43145822,7.878208629,2.087930093,1831,18598,9714,10.1572911,5.305297652,43.5449018,-84.74564253,205.6666667,77,1.666666667,6.666666667,0,14.66666667,102.3333333,109.3333333,223.3333333,57.33333333,No
Sigel Township S/D #4F,300,21,129,150,10.71428571,0.75,4.607142857,5.357142857,28,223,163,7.964285714,5.821428571,43.8436789,-82.7921623,29,100,0,0,0,0,10,14,34,59,No
Sodus Township S/D #5,689,66,575,48,10.13235294,0.970588235,8.455882353,0.705882353,68,699,403,10.27941176,5.926470588,42.037498,-86.3970792,73,66,11,16,0,7,51,18,76,76,No
South Haven Public Schools,24935,1801,10059,13075,11.8456057,0.855581948,4.778622328,6.211401425,2105,30480,13117,14.47980998,6.231353919,42.4007855,-86.26200446,427.6,64.6,10.6,16.2,1.2,7,223.8,167.8,417,60,No
South Lake Schools,24882,1535,13835,9512,13.68646865,0.844334433,7.610011001,5.232123212,1818,29194,12153,16.05830583,6.684818482,42.45944954,-82.91081026,352.8,36.6,48.8,3.6,2.4,8.6,212.2,95.4,336.6,72.4,Yes
South Lyon Community Schools,103023,2992,66886,33145,12.79153216,0.371492426,8.30469332,4.115346412,8054,92757,45565,11.51688602,5.657437298,42.46515766,-83.6308529,704.5,86.2,3.2,5,3.1,2.9,104,552.4,668.6,18.3,No
South Redford School District,41593,1788,28934,10871,13.12496056,0.564215841,9.130325024,3.430419691,3169,40028,22089,12.63111392,6.970337646,42.377884,-83.29920493,429.1666667,22.83333333,67.33333333,3,1,5.666666667,251.1666667,135.5,418.3333333,67.33333333,Yes
Southfield Public School District,103349,5283,39496,58570,15.48763675,0.791697887,5.918777162,8.777161696,6673,103640,59526,15.53124532,8.920425596,42.48324035,-83.242507,366.4,3.1,93.8,1.4,0.9,0.9,230.9,137.9,401.8,63.6,Yes
Southgate Community School District,52344,1647,32603,18094,12.27291911,0.386166471,7.644314185,4.242438453,4265,48761,27859,11.43282532,6.532004689,42.20070646,-83.20167742,520.625,76.375,10.875,10.375,1,1.5,221.5,224.75,466.875,57.625,No
Sparta Area Schools,29678,1261,19906,8511,11.22041588,0.476748582,7.525897921,3.217769376,2645,28787,16654,10.88355388,6.296408318,43.1493141,-85.70951003,616.5,85,1.75,10.75,0.75,1.75,249,330.25,617,47.5,No
Spring Lake Public Schools,31029,411,18503,12115,12.49657672,0.165525574,7.451872735,4.879178413,2483,61307,16349,24.69069674,6.584373741,43.06786718,-86.17372154,421,91.2,1,4.8,1,2.4,59.8,338,413.2,25.4,No
Springport Public Schools,10971,690,6652,3629,11.83495146,0.74433657,7.17583603,3.914778857,927,9764,5658,10.53290183,6.103559871,42.3772237,-84.7040386,428,94,0,1,0,5,254,141,427,67,No
St. Charles Community Schools,10268,513,7702,2053,10.34038268,0.516616314,7.756294058,2.067472306,993,13324,5626,13.41792548,5.665659617,43.2981052,-84.1525282,215.5,78,8,8,1.5,4.5,109,87.5,208.5,59.5,No
St. Ignace Area Schools,6470,611,3331,2528,11.69981917,1.104882459,6.023508137,4.571428571,553,6116,3609,11.0596745,6.526220615,45.86397985,-84.7422447,267,40,2.5,1,0.5,56.5,102,121.5,246,49.5,Yes
St. Johns Public Schools,34242,1646,22692,9904,11.26752221,0.541625535,7.466929911,3.258966765,3039,31873,16838,10.48798947,5.540638368,42.99666147,-84.56760191,415.1428571,86.28571429,1.285714286,8.714285714,0.285714286,4,122.1428571,268,406.5714286,42.57142857,No
St. Joseph Public Schools,31231,590,18568,12073,10.65904437,0.201365188,6.337201365,4.120477816,2930,29452,16552,10.05187713,5.649146758,42.0625393,-86.47493174,586.6,79.6,6.6,4.6,5.4,3.8,138.8,414.2,590.6,30.4,No
St. Louis Public Schools,12294,754,8172,3368,11.65308057,0.714691943,7.745971564,3.192417062,1055,14846,5958,14.07203791,5.647393365,43.40957063,-84.6060217,260.5,84.25,2.25,11,0.5,1.75,148.5,95.75,260.5,64.25,No
Standish-Sterling Community Schools,16885,1064,11575,4246,10.65972222,0.671717172,7.307449495,2.680555556,1584,16223,8681,10.24179293,5.480429293,44.0336263,-84.026541,303,96,0,2,0,2,71,54,140,61,No
Stanton Township Public Schools,1569,135,1099,335,9.229411765,0.794117647,6.464705882,1.970588235,170,1443,917,8.488235294,5.394117647,47.1535366,-88.7211871,172,98,0,2,0,0,84,73,177,59,No
Stephenson Area Public Schools,6034,316,3058,2660,11.01094891,0.576642336,5.580291971,4.854014599,548,5598,3577,10.21532847,6.527372263,45.4190741,-87.6108994,180.5,95,0,3,1,1,67.5,65.5,162,57.5,No
Stockbridge Community Schools,15374,783,8864,5727,10.70612813,0.545264624,6.17270195,3.98816156,1436,15003,8172,10.44777159,5.690807799,42.45073415,-84.18563935,415,93.5,1,4.5,0,1,135,174,331.5,48,No
Sturgis Public Schools,35422,2631,25332,7459,10.69827847,0.794623981,7.650860767,2.252793718,3311,35839,20979,10.82422229,6.33615222,41.80092091,-85.41016049,465.2857143,61.71428571,3.285714286,33.14285714,0.571428571,1.571428571,263.2857143,176.5714286,469.8571429,65.85714286,No
Summerfield Schools,6936,173,5417,1346,10.18502203,0.254038179,7.954478708,1.97650514,681,6645,3871,9.757709251,5.684287812,41.9026525,-83.70577085,327,95,1.5,2.5,0,0.5,91.5,219,322,31.5,No
Superior Central School District,4158,217,2463,1478,11.8125,0.616477273,6.997159091,4.198863636,352,4194,2150,11.91477273,6.107954545,46.3532337,-86.9717661,353,87,1,1,1,9,161,125,338,63,No
Suttons Bay Public Schools,8836,444,2746,5646,14.62913907,0.735099338,4.546357616,9.347682119,604,7108,3788,11.76821192,6.271523179,44.9707855,-85.65556185,154.5,64.5,2.5,15.5,0.5,18,81.5,59.5,149.5,59.5,No
Swan Valley School District,17438,160,13745,3533,9.687777778,0.088888889,7.636111111,1.962777778,1800,17359,10320,9.643888889,5.733333333,43.4105459,-84.07445488,442.5,85.25,1.5,11.75,0,1.75,135.75,281.25,440.75,36.75,No
Swartz Creek Community Schools,38382,1968,27223,9191,9.892268041,0.507216495,7.016237113,2.368814433,3880,38598,22770,9.947938144,5.868556701,42.95104203,-83.8428535,532.5714286,81.28571429,8.142857143,5,1,4.714285714,233.2857143,253.1428571,516.2857143,52.42857143,No
Tahquamenon Area Schools,8131,649,2870,4612,11.27739251,0.900138696,3.980582524,6.39667129,721,7466,4260,10.35506241,5.908460472,46.3510471,-85.5109852,390,85,2,1,0,12,222,96,344,72,No
Tawas Area Schools,12640,808,6054,5778,10.38619556,0.663927691,4.974527527,4.747740345,1217,17601,7159,14.46261298,5.882497946,44.2778959,-83.53437053,406,94,0.333333333,1.666666667,1.333333333,2.666666667,212,180.3333333,421.6666667,57,No
Taylor School District,81341,7336,56569,17436,11.70879516,1.055995394,8.142939398,2.509860371,6947,83579,46630,12.03094861,6.712249892,42.22901125,-83.26864737,491.0769231,53.30769231,30.38461538,8.615384615,1.461538462,6.538461538,339.7692308,125.2307692,497.3846154,75.46153846,No
Tecumseh Public Schools,31543,769,21472,9302,10.72161795,0.261386812,7.298436438,3.161794697,2942,29030,16489,9.867437118,5.604690687,42.00874987,-83.95123203,372,87.66666667,2.333333333,8,0.666666667,1.333333333,133.3333333,284.6666667,436.3333333,40.66666667,No
Tekonsha Community Schools,2992,332,1929,731,11.50769231,1.276923077,7.419230769,2.811538462,260,2771,1665,10.65769231,6.403846154,42.0900723,-84.989421,257,89,2,6,1,2,135,94,249,62,No
Thornapple Kellogg School District,34151,738,22720,10693,11.28585592,0.243886319,7.508261732,3.533707865,3026,34998,18256,11.56576338,6.033046927,42.70936592,-85.4841034,593,91.8,1,4.4,1,2.6,150.8,424.8,620.8,32.8,No
Three Rivers Community Schools,29103,1805,17941,9357,10.82298252,0.671253254,6.671997025,3.479732242,2689,27332,15158,10.16437337,5.637039792,41.95656087,-85.64332462,440.6666667,76.66666667,7.666666667,6.833333333,1,8.166666667,215.5,186,432.3333333,58.66666667,No
Traverse City Area Public Schools,111386,3844,50861,56681,11.57257143,0.399376623,5.28425974,5.888935065,9625,109104,57834,11.33548052,6.008727273,44.74327659,-85.62569365,542,88.11764706,1.235294118,4.764705882,1.294117647,5.117647059,175.4117647,344.2352941,558.1176471,43.11764706,No
Trenton Public Schools,33109,660,20362,12087,12.54604017,0.250094733,7.71580144,4.580143994,2639,33523,19400,12.70291777,7.35126942,42.13988493,-83.20630527,659,88.25,2,6.25,1,2.5,127.75,494.25,631.25,22.5,No
Tri County Area Schools,20796,1307,14681,4808,10.4871407,0.65910237,7.403429148,2.424609178,1983,19701,11473,9.93494705,5.785678265,43.35512197,-85.50193305,489.5,92,0.5,3.75,0.25,3.25,239.25,208.75,484,57.75,No
Troy School District,163631,3614,93749,66268,12.83682435,0.28351769,7.354593238,5.198713423,12747,172142,96110,13.50451087,7.539813289,42.58338201,-83.13885451,664.7222222,55.94444444,4.722222222,3.333333333,32.77777778,3.222222222,91.44444444,552.1666667,663.3888889,19.16666667,No
Ubly Community Schools,7434,288,5431,1715,10.42636746,0.403927069,7.617110799,2.405329593,713,8065,4851,11.31136045,6.803646564,43.7087048,-82.9383615,444,97,1,1,0,1,194,243,470,48,No
Union City Community Schools,11422,582,8412,2428,10.5174954,0.535911602,7.745856354,2.23572744,1086,11095,6633,10.21639042,6.107734807,42.0642199,-85.142704,360.3333333,94.33333333,0,1,0.333333333,4,166.6666667,150.3333333,345.6666667,56,No
Utica Community Schools,295785,7776,216987,71022,10.60845707,0.278889606,7.782332688,2.547234775,27882,301823,198221,10.82501255,7.109281974,42.62773409,-83.0248081,749.2972973,85.16216216,5.135135135,3.162162162,4.162162162,2.540540541,228.5675676,473.4054054,735.972973,38.94594595,No
Van Buren Public Schools,56979,3914,33329,19736,11.66885112,0.80155642,6.8255171,4.041777596,4883,55684,27708,11.4036453,5.674380504,42.21130996,-83.48775376,680.5714286,49.28571429,42,3.571428571,1,4.285714286,351.1428571,276.2857143,656.1428571,62,Yes
Van Dyke Public Schools,35875,4469,21567,9839,13.56332703,1.689603025,8.153875236,3.719848771,2645,35729,17604,13.50812854,6.65557656,42.46308785,-83.0114145,445.3333333,29.83333333,54.33333333,2.166666667,3.166666667,10.5,351,42.33333333,406.6666667,88.16666667,Yes
Vanderbilt Area Schools,1761,282,97,1382,16.00909091,2.563636364,0.881818182,12.56363636,110,1584,937,14.4,8.518181818,45.144319,-84.6539424,121,96,0,3,0,2,65,10,82,88,No
Vandercook Lake Public Schools,12358,580,9713,2065,10.17119342,0.477366255,7.994238683,1.699588477,1215,12308,8418,10.13004115,6.928395062,42.1949117,-84.38993855,600,88.5,3,3,0.5,5.5,325,190,556,66,No
Vassar Public Schools,12399,1360,9285,1754,10.35839599,1.136173768,7.756892231,1.465329992,1197,12040,7468,10.05847953,6.23893066,43.3753006,-83.57511575,310,66,26,6,0,2,171,118.5,299.5,70.5,No
Vestaburg Community Schools,6449,639,4530,1280,10.96768707,1.086734694,7.704081633,2.176870748,588,6594,3875,11.21428571,6.590136054,43.3967857,-84.9088287,277,93,1,5,0,1,126,110,264,58,No
Vicksburg Community Schools,30368,972,20707,8689,11.31867313,0.362281029,7.717853149,3.238538949,2683,30742,15714,11.45806933,5.856876631,42.13912186,-85.5172804,515,92,1.2,2.8,0.4,3.8,146.4,326.6,509,36,No
Wakefield-Marenisco School District,3247,405,1465,1377,11.19655172,1.396551724,5.051724138,4.748275862,290,3311,1940,11.41724138,6.689655172,46.4777778,-89.9366667,314,94,0,0,0,5,130,147,293,50,No
Waldron Area Schools,2885,343,2079,463,12.48917749,1.484848485,9,2.004329004,231,2918,1547,12.63203463,6.696969697,41.733453,-84.4188809,98,96,2,2,0,0,75,32,113,72,No
Walkerville Public Schools,3503,545,1946,1012,12.07931034,1.879310345,6.710344828,3.489655172,290,3515,1808,12.12068966,6.234482759,43.7150042,-86.1226796,243,72,0,24,0,3,214,40,269,85,No
Walled Lake Consolidated Schools,184283,3623,107144,73516,12.8179036,0.251999722,7.452458788,5.113445086,14377,193905,106375,13.487167,7.398970578,42.56141783,-83.47831144,709.2222222,77.38888889,8.388888889,5,6.277777778,3,152.6111111,515.6666667,690.5555556,27.38888889,No
Warren Consolidated Schools,184947,12033,109821,63093,12.60372087,0.820021807,7.484053428,4.299645632,14674,168941,97960,11.51294807,6.675753033,42.53166588,-83.04166828,633.5217391,73.30434783,11.43478261,2.043478261,10.26086957,3.043478261,345.5217391,220.6956522,600.8695652,63.91304348,No
Warren Woods Public Schools,42186,2350,27947,11889,13.00030817,0.724191063,8.612326656,3.663790447,3245,38108,20745,11.74360555,6.392912173,42.50469902,-82.98633612,522,67.83333333,18.66666667,1.833333333,7.166666667,4.5,223.3333333,242.8333333,509.6666667,55.83333333,No
Waterford School District,126274,8607,74066,43601,13.33551589,0.9089661,7.821945295,4.604604499,9469,132589,61979,14.00242898,6.545464146,42.66306054,-83.38125567,578.9375,68.8125,12.5,12.875,2.0625,4.0625,252.6875,267.8125,559.3125,55.6875,No
Watersmeet Township School District,3839,739,308,2792,25.93918919,4.993243243,2.081081081,18.86486486,148,3751,2087,25.34459459,14.10135135,46.269521,-89.1774323,150,32,1,5,0,62,88,36,144,75,Yes
Watervliet School District,15082,810,10331,3941,10.45183645,0.561330561,7.159390159,2.731115731,1443,22923,8545,15.88565489,5.921690922,42.18929963,-86.2592746,331,79.66666667,2,12.33333333,0.666666667,6.333333333,182.3333333,127.6666667,338.6666667,63,No
Waverly Community Schools,37450,1573,17940,17937,13.37977849,0.561986424,6.40943194,6.408360129,2799,33854,18433,12.09503394,6.585566274,42.73553238,-84.61605602,463.8333333,40.5,27.5,12,5,15.5,280.6666667,171.8333333,500,68.83333333,Yes
Wayland Union Schools,34126,1090,21282,11754,11.59171196,0.370244565,7.228940217,3.992527174,2944,31529,16274,10.7095788,5.527853261,42.67905507,-85.64855631,414,89.85714286,1.142857143,4,0.857142857,4,143.7142857,247.8571429,432.1428571,47.42857143,No
Wayne-Westland Community School District,145877,11598,90718,43561,12.25445228,0.974294355,7.620799731,3.659358199,11904,138385,73677,11.62508401,6.189264113,42.29492429,-83.38157189,560.2941176,55.58823529,32.05882353,6.117647059,1.588235294,4.764705882,269.0588235,219.8235294,504.5294118,58.23529412,No
Webberville Community Schools,6999,348,4177,2474,12.47593583,0.620320856,7.445632799,4.409982175,561,7559,3083,13.4741533,5.495543672,42.66748205,-84.17157125,187,93.5,1.5,2.5,1,1.5,76.5,73.5,173.5,56.5,No
West Bloomfield School District,81985,1974,43398,36613,14.9117861,0.359039651,7.893415788,6.659330666,5498,69036,38251,12.55656602,6.957257184,42.56984308,-83.36534009,576.2222222,57.77777778,25.55555556,5.111111111,7.333333333,3.777777778,151.2222222,413.3333333,583.7777778,29,No
West Branch-Rose City Area Schools,23275,1822,11535,9918,11.51657595,0.901533894,5.70757051,4.907471549,2021,21264,11214,10.521524,5.548738248,44.30454027,-84.18255367,463,93.66666667,0.666666667,3,0.666666667,2.666666667,233.6666667,216.3333333,453,58,No
West Iron County Public Schools,8563,798,4601,3164,10.07411765,0.938823529,5.412941176,3.722352941,850,8711,5359,10.24823529,6.304705882,46.0819967,-88.633486,280.3333333,94.33333333,0,2.333333333,0,3.333333333,167.6666667,90.66666667,280.3333333,68,No
West Ottawa Public School District,89727,5541,49392,34794,12.95696751,0.800144404,7.132418773,5.024404332,6925,90620,49645,13.08592058,7.168953069,42.83554316,-86.13929955,618.8181818,47,3,37.54545455,6.909090909,5.818181818,296.7272727,271.0909091,629.8181818,59.54545455,Yes
Western School District,30853,873,22701,7279,10.47284453,0.296334012,7.705702648,2.470807875,2946,29467,19120,10.0023761,6.490156144,42.28354027,-84.36658685,485.8333333,88.33333333,2.5,3.5,0.833333333,5,153.5,331.5,512.8333333,42.66666667,No
Westwood Community School District,24217,3529,17152,3536,11.66522158,1.699903661,8.262042389,1.70327553,2076,23716,13039,11.4238921,6.280828516,42.28394852,-83.2884595,333,15,80.6,3,0.6,1.2,274.2,42.4,325.2,85.6,Yes
Westwood Heights Schools,13991,1420,10487,2084,10.31024318,1.04642594,7.72807664,1.535740604,1357,13862,6872,10.21518055,5.064112012,43.06376548,-83.74683403,319.25,9.75,84,2.25,0,4,308.75,44.75,364,87.75,Yes
White Cloud Public Schools,11123,944,6914,3265,11.23535354,0.953535354,6.983838384,3.297979798,990,10025,5955,10.12626263,6.015151515,43.5509485,-85.7867046,288,90,3,4,0,3,166,96,282,66,No
White Pigeon Community Schools,8726,640,3645,4441,11.63466667,0.853333333,4.86,5.921333333,750,8780,5019,11.70666667,6.692,41.79983635,-85.63738025,381.5,86.5,0,8.5,0.5,4,180.5,133.5,347.5,60.5,No
Whitefish Township Schools,1425,73,316,1036,83.82352941,4.294117647,18.58823529,60.94117647,17,1144,380,67.29411765,22.35294118,46.6104739,-85.0391144,26,92,4,0,0,4,27,15,42,64,No
Whiteford Agricultural School District of the Counties of Lenawee and Monroe,7011,118,4769,2124,10.28005865,0.173020528,6.992668622,3.114369501,682,6356,3641,9.319648094,5.338709677,41.767824,-83.703209,237,91,3,4,1,1,52,185,246,25,No
Whitehall District Schools,25158,1557,15190,8411,11.34265104,0.701983769,6.848512173,3.792155095,2218,27738,14466,12.50586114,6.522091975,43.39791545,-86.33635413,503.5,89.25,3.75,3.5,1,2.5,206,277.75,506.5,46.25,No
Whitmore Lake Public School District,14047,487,5845,7715,16.44847775,0.570257611,6.844262295,9.033957845,854,12087,5134,14.15339578,6.011709602,42.4057375,-83.77770985,400,89,1,3,0,7,119.5,214.5,362,40.5,No
Whittemore-Prescott Area Schools,9589,1164,5409,3016,11.44272076,1.38902148,6.454653938,3.599045346,838,8578,4808,10.23627685,5.737470167,44.2280151,-83.88126595,426,95.5,1,1,0,3,316.5,55,396.5,85.5,No
Williamston Community Schools,22008,567,14093,7348,12.26755853,0.316053512,7.855629877,4.095875139,1794,20290,11403,11.30992196,6.356187291,42.69495928,-84.2750624,445.5,90,1.5,4,1.5,3.5,74.75,365.75,451.75,19.75,No
Wolverine Community School District,3358,360,1722,1276,12.34558824,1.323529412,6.330882353,4.691176471,272,3320,2166,12.20588235,7.963235294,45.2717992,-84.6063743,149,87,2,1,1,9,123,16,150,89,No
Woodhaven-Brownstown School District,60161,2104,38279,19778,11.53614573,0.403451582,7.340172579,3.792521572,5215,56978,32832,10.92579099,6.295685523,42.14109486,-83.25930024,483.5,70.375,12.375,8.125,5.375,3.5,195,274,487.125,44.5,No
"Wyandotte, School District of the City of",67418,3641,39170,24607,14.97179658,0.808572063,8.698645348,5.464579169,4503,81386,35410,18.07372863,7.863646458,42.20670315,-83.16631769,532.375,79.625,7.75,9.25,0.5,2.75,322.125,195,546.25,70.125,No
Wyoming Public Schools,54932,5698,32286,16948,12.38043723,1.284201037,7.276538201,3.819697994,4437,49977,28700,11.26369168,6.46833446,42.90617713,-85.7081342,479.5714286,40.42857143,12.57142857,36.85714286,2.142857143,8.428571429,299.5714286,124.2857143,467.7142857,73.85714286,Yes
Yale Public Schools,20895,784,13692,6419,10.73741007,0.402877698,7.035971223,3.298561151,1946,20326,11466,10.44501542,5.892086331,43.08656526,-82.77422568,379.8,94.4,0.6,3,0.2,2,132.4,219.2,374.8,43.2,No
Ypsilanti Community Schools,64508,7577,29871,27060,16.67735264,1.958893485,7.722595657,6.995863495,3868,62045,26137,16.04058945,6.757238883,42.24167493,-83.61013014,337.125,21.75,62.875,7.625,1.375,6.5,273.25,53.25,334.5,82.625,Yes
Zeeland Public Schools,68542,1428,40783,26331,11.65680272,0.242857143,6.935884354,4.478061224,5880,76838,39409,13.06768707,6.702210884,42.81515759,-86.01882665,514.2727273,76.18181818,1.363636364,14.36363636,3.909090909,3.909090909,101.8181818,386.5454545,515.9090909,29.63636364,No
